tag_id,name,category,count,right_tag_cn
1631405,tanikaze_(kancolle),4,862,tanikaze_(kancolle)
1631408,tashkent_(kancolle),4,1590,tashkent_(kancolle)
1631410,tatsuta_(kancolle),4,5434,tatsuta_(kancolle)
1631425,teruzuki_(kancolle),4,1863,teruzuki_(kancolle)
1631433,tone_(kancolle),4,2214,tone_(kancolle)
1631437,tsushima_(kancolle),4,1108,tsushima_(kancolle)
1631440,u-511_(kancolle),4,2286,u-511_(kancolle)
1631447,unryuu_(kancolle),4,2619,unryuu_(kancolle)
1631452,urakaze_(kancolle),4,2704,urakaze_(kancolle)
1631456,ushio_(kancolle),4,6944,ushio_(kancolle)
1631470,wakaba_(kancolle),4,651,wakaba_(kancolle)
1631474,warspite_(kancolle),4,2939,warspite_(kancolle)
1631478,yahagi_(kancolle),4,2454,yahagi_(kancolle)
1631480,yamagumo_(kancolle),4,1017,yamagumo_(kancolle)
1631482,yamakaze_(kancolle),4,3307,yamakaze_(kancolle)
1631484,yamashiro_(kancolle),4,4695,yamashiro_(kancolle)
1631488,yamato_(kancolle),4,6620,yamato_(kancolle)
1631495,yayoi_(kancolle),4,1778,yayoi_(kancolle)
1631502,yuubari_(kancolle),4,4181,yuubari_(kancolle)
1631504,yuudachi_(kancolle),4,11386,yuudachi_(kancolle)
1631510,yuugumo_(kancolle),4,2009,yuugumo_(kancolle)
1631514,z1_leberecht_maass_(kancolle),4,3027,z1_leberecht_maass_(kancolle)
1631516,z3_max_schultz_(kancolle),4,2957,z3_max_schultz_(kancolle)
1631518,zara_(kancolle),4,1189,zara_(kancolle)
1631521,zuihou_(kancolle),4,3567,zuihou_(kancolle)
1631523,zuikaku_(kancolle),4,10116,zuikaku_(kancolle)
1631530,collei_(genshin_impact),4,1039,collei_(genshin_impact)
1631536,hilichurl_(genshin_impact),4,1224,hilichurl_(genshin_impact)
1631539,slime_(substance),0,5556,slime_(substance)
1631590,basil_(omori),4,922,basil_(omori)
1631677,mature_male,0,29491,mature_male
1631697,alternate_pectoral_size,0,860,alternate_pectoral_size
1631734,single_mechanical_arm,0,6563,single_mechanical_arm
1631984,ako_(blue_archive),4,3242,ako_(blue_archive)
1632773,heart-shaped_chocolate,0,5627,heart-shaped_chocolate
1633650,yuzu_(blue_archive),4,2015,yuzu_(blue_archive)
1634345,izuna_(blue_archive),4,1937,izuna_(blue_archive)
1634527,arima_kana,4,2357,arima_kana
1634596,hoshino_aquamarine,4,1058,hoshino_aquamarine
1634607,hoshino_ai_(oshi_no_ko),4,1720,hoshino_ai_(oshi_no_ko)
1634686,cigarette_pack,0,824,cigarette_pack
1635490,poke_ball_(legends),0,679,poke_ball_(legends)
1635696,hu_tao_(genshin_impact),4,10238,hu_tao_(genshin_impact)
1635846,tracen_school_uniform,0,16166,tracen_school_uniform
1636487,one-hour_drawing_challenge,0,29539,one-hour_drawing_challenge
1636673,wiffle_gag,0,3659,wiffle_gag
1636694,sleeve_garter,0,2265,sleeve_garter
1636976,footwear_bow,0,5112,footwear_bow
1637102,doughnut_hair_bun,0,1951,doughnut_hair_bun
1637361,pyra_(pro_swimmer)_(xenoblade),4,897,pyra_(pro_swimmer)_(xenoblade)
1637638,heart_brooch,0,7846,heart_brooch
1637827,star_facial_mark,0,1627,star_facial_mark
1637838,teardrop_facial_mark,0,1520,teardrop_facial_mark
1637843,crescent_facial_mark,0,1942,crescent_facial_mark
1637933,evolutionary_line,0,3172,evolutionary_line
1638054,fu_hua_(herrscher_of_sentience),4,1162,fu_hua_(herrscher_of_sentience)
1638312,footwear_ribbon,0,1235,footwear_ribbon
1639053,fubuki_kai_ni_(kancolle),4,1293,fubuki_kai_ni_(kancolle)
1639062,haruna_kai_ni_(kancolle),4,1187,haruna_kai_ni_(kancolle)
1639075,jintsuu_kai_ni_(kancolle),4,635,jintsuu_kai_ni_(kancolle)
1639085,kinugasa_kai_ni_(kancolle),4,625,kinugasa_kai_ni_(kancolle)
1639090,maya_kai_ni_(kancolle),4,741,maya_kai_ni_(kancolle)
1639094,murakumo_kai_ni_(kancolle),4,1504,murakumo_kai_ni_(kancolle)
1639099,naganami_kai_ni_(kancolle),4,773,naganami_kai_ni_(kancolle)
1639112,sendai_kai_ni_(kancolle),4,1733,sendai_kai_ni_(kancolle)
1639113,shigure_kai_ni_(kancolle),4,7790,shigure_kai_ni_(kancolle)
1639124,tenryuu_kai_ni_(kancolle),4,677,tenryuu_kai_ni_(kancolle)
1639135,yuudachi_kai_ni_(kancolle),4,7473,yuudachi_kai_ni_(kancolle)
1639310,arthropod_girl,0,5848,arthropod_girl
1639311,arthropod_boy,0,651,arthropod_boy
1641153,icho_private_high_school_uniform,0,1676,icho_private_high_school_uniform
1641409,ingrid_(capcom),4,701,ingrid_(capcom)
1641843,eula_(genshin_impact),4,5081,eula_(genshin_impact)
1641844,yanfei_(genshin_impact),4,1647,yanfei_(genshin_impact)
1641895,gloved_handjob,0,3954,gloved_handjob
1641903,eye_focus,0,2243,eye_focus
1642271,yurigaoka_girls_academy_school_uniform,0,1457,yurigaoka_girls_academy_school_uniform
1643064,goutokuji_mike,4,793,goutokuji_mike
1643067,hinata_(blue_archive),4,654,hinata_(blue_archive)
1643688,azusa_(blue_archive),4,1781,azusa_(blue_archive)
1643885,mari_(blue_archive),4,3373,mari_(blue_archive)
1643937,sunny_(omori),4,844,sunny_(omori)
1644111,official_alternate_hairstyle,0,23485,official_alternate_hairstyle
1644965,air_groove_(umamusume),4,1356,air_groove_(umamusume)
1644966,biwa_hayahide_(umamusume),4,832,biwa_hayahide_(umamusume)
1644967,el_condor_pasa_(umamusume),4,843,el_condor_pasa_(umamusume)
1644969,fuji_kiseki_(umamusume),4,651,fuji_kiseki_(umamusume)
1644970,grass_wonder_(umamusume),4,1514,grass_wonder_(umamusume)
1644971,hishi_amazon_(umamusume),4,658,hishi_amazon_(umamusume)
1644972,maruzensky_(umamusume),4,833,maruzensky_(umamusume)
1644973,narita_brian_(umamusume),4,1492,narita_brian_(umamusume)
1644974,taiki_shuttle_(umamusume),4,755,taiki_shuttle_(umamusume)
1644976,admire_vega_(umamusume),4,1730,admire_vega_(umamusume)
1644977,agnes_digital_(umamusume),4,1526,agnes_digital_(umamusume)
1644978,agnes_tachyon_(umamusume),4,4239,agnes_tachyon_(umamusume)
1644979,air_shakur_(umamusume),4,937,air_shakur_(umamusume)
1644982,curren_chan_(umamusume),4,1741,curren_chan_(umamusume)
1644983,eishin_flash_(umamusume),4,1702,eishin_flash_(umamusume)
1644984,fine_motion_(umamusume),4,1162,fine_motion_(umamusume)
1644985,gold_city_(umamusume),4,796,gold_city_(umamusume)
1644990,king_halo_(umamusume),4,1633,king_halo_(umamusume)
1644991,matikanefukukitaru_(umamusume),4,1264,matikanefukukitaru_(umamusume)
1644992,manhattan_cafe_(umamusume),4,3260,manhattan_cafe_(umamusume)
1644994,mayano_top_gun_(umamusume),4,1959,mayano_top_gun_(umamusume)
1644995,meisho_doto_(umamusume),4,1214,meisho_doto_(umamusume)
1644996,mejiro_dober_(umamusume),4,1125,mejiro_dober_(umamusume)
1644998,mihono_bourbon_(umamusume),4,2036,mihono_bourbon_(umamusume)
1645000,nakayama_festa_(umamusume),4,623,nakayama_festa_(umamusume)
1645001,narita_taishin_(umamusume),4,1123,narita_taishin_(umamusume)
1645002,nice_nature_(umamusume),4,3108,nice_nature_(umamusume)
1645003,nishino_flower_(umamusume),4,655,nishino_flower_(umamusume)
1645004,rice_shower_(umamusume),4,5249,rice_shower_(umamusume)
1645005,sakura_bakushin_o_(umamusume),4,781,sakura_bakushin_o_(umamusume)
1645007,seiun_sky_(umamusume),4,1716,seiun_sky_(umamusume)
1645008,smart_falcon_(umamusume),4,1235,smart_falcon_(umamusume)
1645009,super_creek_(umamusume),4,1128,super_creek_(umamusume)
1645010,sweep_tosho_(umamusume),4,1020,sweep_tosho_(umamusume)
1645011,tamamo_cross_(umamusume),4,1640,tamamo_cross_(umamusume)
1645012,tosen_jordan_(umamusume),4,650,tosen_jordan_(umamusume)
1645013,winning_ticket_(umamusume),4,651,winning_ticket_(umamusume)
1645715,zero_(mega_man),4,1038,zero_(mega_man)
1645753,roll_caskett_(mega_man),4,739,roll_caskett_(mega_man)
1646030,daitaku_helios_(umamusume),4,1036,daitaku_helios_(umamusume)
1646429,fukuda_haru,4,748,fukuda_haru
1646463,gwen_(league_of_legends),4,1117,gwen_(league_of_legends)
1646740,archer_(fate),4,5140,archer_(fate)
1646757,special_week_(umamusume),4,2559,special_week_(umamusume)
1646759,silence_suzuka_(umamusume),4,3402,silence_suzuka_(umamusume)
