tag_id,name,category,count,right_tag_cn,game
1318502,callie_(splatoon),4,2609,callie_(splatoon),splatoon
1318503,marie_(splatoon),4,2462,marie_(splatoon),splatoon
1885788,kamisato_ayaka_(springbloom_missive),4,660,kamisato_ayaka_(springbloom_missive),springbloom_missive
1672736,twilight_(spy_x_family),4,2656,twilight_(spy_x_family),spy_x_family
1529309,anya_(spy_x_family),4,4300,anya_(spy_x_family),spy_x_family
538478,haniwa_(statue),0,1290,haniwa_(statue),statue
693236,ibuki_(street_fighter),4,810,ibuki_(street_fighter),street_fighter
555676,makoto_(street_fighter),4,838,makoto_(street_fighter),street_fighter
510496,ryu_(street_fighter),4,1667,ryu_(street_fighter),street_fighter
2003721,mori_calliope_(streetwear),4,743,mori_calliope_(streetwear),streetwear
2041948,hoshimachi_suisei_(streetwear),4,716,hoshimachi_suisei_(streetwear),streetwear
1578189,atago_(stunning_speedster)_(azur_lane),4,853,atago_(stunning_speedster)_(azur_lane),stunning_speedster)_(azur_lane
1754051,western_comics_(style),0,919,western_comics_(style),style
1559228,2000s_(style),0,1411,2000s_(style),style
675942,zun_(style),0,1243,zun_(style),style
1631539,slime_(substance),0,5556,slime_(substance),substance
1235700,seiren_(suite_precure),4,892,seiren_(suite_precure),suite_precure
2007520,houshou_marine_(summer),4,1776,houshou_marine_(summer),summer
1837736,saren_(summer)_(princess_connect!),4,706,saren_(summer)_(princess_connect!),summer)_(princess_connect!
1836895,karyl_(summer)_(princess_connect!),4,673,karyl_(summer)_(princess_connect!),summer)_(princess_connect!
1693731,mash_kyrielight_(swimsuit_of_perpetual_summer),4,732,mash_kyrielight_(swimsuit_of_perpetual_summer),swimsuit_of_perpetual_summer
1781164,gem_(symbol),0,1587,gem_(symbol),symbol
664359,tachibana_hibiki_(symphogear),4,1860,tachibana_hibiki_(symphogear),symphogear
1233901,sophie_(tales),4,703,sophie_(tales),tales
1705076,rosa_(tears_of_themis),4,714,rosa_(tears_of_themis),tears_of_themis
1600200,wuxian_(the_legend_of_luoxiaohei),4,633,wuxian_(the_legend_of_luoxiaohei),the_legend_of_luoxiaohei
